fname,label,length
dog_bark\001.wav,dog_bark,4.0
dog_bark\002.wav,dog_bark,4.0
dog_bark\003.wav,dog_bark,4.0
dog_bark\004.wav,dog_bark,4.0
dog_bark\005.wav,dog_bark,4.0
dog_bark\006.wav,dog_bark,4.0
dog_bark\007.wav,dog_bark,4.0
dog_bark\008.wav,dog_bark,4.0
dog_bark\009.wav,dog_bark,4.0
dog_bark\010.wav,dog_bark,4.0
dog_bark\011.wav,dog_bark,4.0
dog_bark\012.wav,dog_bark,4.0
dog_bark\013.wav,dog_bark,4.0
dog_bark\014.wav,dog_bark,4.0
dog_bark\015.wav,dog_bark,4.0
dog_bark\016.wav,dog_bark,4.0
dog_bark\017.wav,dog_bark,4.0
dog_bark\018.wav,dog_bark,4.0
dog_bark\019.wav,dog_bark,4.0
dog_bark\020.wav,dog_bark,4.0
dog_bark\021.wav,dog_bark,4.0
dog_bark\022.wav,dog_bark,4.0
dog_bark\023.wav,dog_bark,4.0
dog_bark\024.wav,dog_bark,4.0
dog_bark\025.wav,dog_bark,4.0
dog_bark\026.wav,dog_bark,4.0
dog_bark\027.wav,dog_bark,4.0
dog_bark\028.wav,dog_bark,4.0
dog_bark\029.wav,dog_bark,4.0
dog_bark\030.wav,dog_bark,4.0
dog_bark\031.wav,dog_bark,4.0
dog_bark\032.wav,dog_bark,4.0
dog_bark\033.wav,dog_bark,4.0
dog_bark\034.wav,dog_bark,4.0
dog_bark\035.wav,dog_bark,4.0
dog_bark\036.wav,dog_bark,4.0
dog_bark\037.wav,dog_bark,4.0
dog_bark\038.wav,dog_bark,4.0
dog_bark\039.wav,dog_bark,4.0
dog_bark\040.wav,dog_bark,4.0
dog_bark\041.wav,dog_bark,4.0
dog_bark\042.wav,dog_bark,4.0
dog_bark\043.wav,dog_bark,4.0
dog_bark\044.wav,dog_bark,4.0
dog_bark\045.wav,dog_bark,4.0
dog_bark\046.wav,dog_bark,4.0
dog_bark\047.wav,dog_bark,4.0
dog_bark\048.wav,dog_bark,4.0
dog_bark\049.wav,dog_bark,4.0
dog_bark\050.wav,dog_bark,4.0
dog_bark\051.wav,dog_bark,4.0
dog_bark\052.wav,dog_bark,4.0
dog_bark\053.wav,dog_bark,4.0
dog_bark\054.wav,dog_bark,4.0
dog_bark\055.wav,dog_bark,4.0
dog_bark\056.wav,dog_bark,4.0
dog_bark\057.wav,dog_bark,4.0
dog_bark\058.wav,dog_bark,4.0
dog_bark\059.wav,dog_bark,4.0
dog_bark\060.wav,dog_bark,4.0
dog_bark\061.wav,dog_bark,4.0
dog_bark\062.wav,dog_bark,4.0
dog_bark\063.wav,dog_bark,4.0
